Canadian Interest Rates,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Daily series: 2015-06-01 - 2024-06-03,,,,,,,,,,,,,,
V39079 = Target for the overnight rate,,,,,,,,,,,,,,
V39078 = Bank rate,,,,,,,,,,,,,,
Canadian Overnight Repo Rate Average (CORRA) (%) = Canadian Overnight Repo Rate Average (CORRA) (%),,,,,,,,,,,,,,
V39068 = Bankers' acceptances - 1 Month,,,,,,,,,,,,,,
V39071 = Bankers' acceptances - 3 month,,,,,,,,,,,,,,
V39072 = Prime Corporate Paper Rate - 1 Month,,,,,,,,,,,,,,
V39074 = Prime Corporate Paper Rate - 3 Month,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Summary,Date,V39079,Date,V39078,Date,Canadian Overnight Repo Rate Average (CORRA) (%),Date,V39068,Date,V39071,Date,V39072,Date,V39074
Low,2022-03-02,0.25,2022-03-02,0.5,2021-12-13,0.05,2015-07-20,0.65,2016-01-19,0.65,2015-09-04,0.61,2015-09-04,0.61
High,2024-06-03,5,2024-06-03,5.25,2024-01-31,5.07,2018-12-31,2.25,2018-12-31,2.24,2018-12-28,2.24,2018-12-31,2.21
Average,2015-06-01 - 2024-06-03,1.58,2015-06-01 - 2024-06-03,1.81,2015-06-01 - 2024-06-03,1.5697,2015-06-01 - 2019-01-01,1.12,2015-06-01 - 2019-01-01,1.17,2015-06-01 - 2019-01-01,1.09,2015-06-01 - 2019-01-01,1.14
,,,,,,,,,,,,,,
Date,V39079,V39078,Canadian Overnight Repo Rate Average (CORRA) (%),V39068,V39071,V39072,V39074,,,,,,,
2015-11-09,0.5,0.75,0.4837,0.75,0.76,0.74,0.75,,,,,,,
2015-11-10,0.5,0.75,0.5,0.76,0.77,0.74,0.75,,,,,,,
2015-11-11,0.5,0.75, Bank holiday, Bank holiday, Bank holiday, Bank holiday, Bank holiday,,,,,,,
2015-11-12,0.5,0.75,0.4983,0.77,0.77,0.74,0.75,,,,,,,
2015-11-13,0.5,0.75,0.5,0.77,0.78,0.74,0.75,,,,,,,
2015-11-16,0.5,0.75,0.5084,0.78,0.78,0.74,0.75,,,,,,,
2015-11-17,0.5,0.75,0.5002,0.78,0.78,0.74,0.75,,,,,,,
2015-11-18,0.5,0.75,0.478,0.78,0.78,0.74,0.75,,,,,,,
2015-11-19,0.5,0.75,0.489,0.78,0.78,0.74,0.75,,,,,,,
2015-11-20,0.5,0.75,0.4963,0.78,0.78,0.74,0.75,,,,,,,
2015-11-23,0.5,0.75,0.4867,0.78,0.78,0.74,0.75,,,,,,,
2015-11-24,0.5,0.75,0.4919,0.78,0.79,0.78,0.78,,,,,,,
2015-11-25,0.5,0.75,0.5,0.78,0.79,0.78,0.78,,,,,,,
2015-11-26,0.5,0.75,0.5,0.79,0.79,0.78,0.78,,,,,,,
2015-11-27,0.5,0.75,0.5,0.79,0.79,0.78,0.78,,,,,,,
2015-11-30,0.5,0.75,0.541,0.8,0.79,0.78,0.78,,,,,,,
2015-12-01,0.5,0.75,0.5305,0.79,0.79,0.79,0.8,,,,,,,
2015-12-02,0.5,0.75,0.516,0.79,0.79,0.79,0.8,,,,,,,
2015-12-03,0.5,0.75,0.5387,0.78,0.79,0.79,0.8,,,,,,,
2015-12-04,0.5,0.75,0.5164,0.79,0.79,0.79,0.8,,,,,,,
2015-12-07,0.5,0.75,0.5252,0.79,0.79,0.79,0.8,,,,,,,
2015-12-08,0.5,0.75,0.516,0.79,0.79,0.79,0.8,,,,,,,
2015-12-09,0.5,0.75,0.5093,0.79,0.8,0.79,0.8,,,,,,,
2015-12-10,0.5,0.75,0.5102,0.8,0.8,0.8,0.81,,,,,,,
2015-12-11,0.5,0.75,0.5066,0.8,0.81,0.8,0.81,,,,,,,
2015-12-14,0.5,0.75,0.5273,0.81,0.81,0.8,0.81,,,,,,,
2015-12-15,0.5,0.75,0.5404,0.81,0.81,0.8,0.81,,,,,,,
2015-12-16,0.5,0.75,0.5466,0.83,0.81,0.8,0.81,,,,,,,
2015-12-17,0.5,0.75,0.5429,0.83,0.81,0.81,0.82,,,,,,,
2015-12-18,0.5,0.75,0.5274,0.82,0.83,0.82,0.83,,,,,,,
2015-12-21,0.5,0.75,0.539,0.83,0.83,0.82,0.83,,,,,,,
2015-12-22,0.5,0.75,0.5274,0.83,0.83,0.82,0.83,,,,,,,
2015-12-23,0.5,0.75,0.5425,0.83,0.84,0.83,0.84,,,,,,,
2015-12-24,0.5,0.75,0.54,0.84,0.84,0.83,0.84,,,,,,,
2015-12-25,0.5,0.75, Bank holiday, Bank holiday, Bank holiday, Bank holiday, Bank holiday,,,,,,,
2015-12-28,0.5,0.75, Bank holiday, Bank holiday, Bank holiday, Bank holiday, Bank holiday,,,,,,,
2015-12-29,0.5,0.75,0.5503,0.85,0.84,0.83,0.84,,,,,,,
2015-12-30,0.5,0.75,0.5442,0.85,0.84,0.83,0.84,,,,,,,
2015-12-31,0.5,0.75,0.5537,0.86,0.84,0.83,0.84,,,,,,,
2016-01-01,0.5,0.75, Bank holiday, Bank holiday, Bank holiday, Bank holiday, Bank holiday,,,,,,,
2016-01-04,0.5,0.75,0.526,0.85,0.83,0.83,0.82,,,,,,,
2016-01-05,0.5,0.75,0.5436,0.83,0.83,0.83,0.82,,,,,,,
2016-01-06,0.5,0.75,0.5281,0.83,0.83,0.83,0.82,,,,,,,
2016-01-07,0.5,0.75,0.5163,0.82,0.82,0.82,0.81,,,,,,,
2016-01-08,0.5,0.75,0.5203,0.83,0.82,0.82,0.81,,,,,,,
2016-01-11,0.5,0.75,0.5212,0.81,0.82,0.82,0.81,,,,,,,
2016-01-12,0.5,0.75,0.5202,0.82,0.79,0.82,0.81,,,,,,,
2016-01-13,0.5,0.75,0.5234,0.81,0.78,0.82,0.81,,,,,,,
2016-01-14,0.5,0.75,0.5259,0.75,0.71,0.82,0.81,,,,,,,
2016-01-15,0.5,0.75,0.5457,0.72,0.69,0.82,0.81,,,,,,,
2016-01-18,0.5,0.75,0.5138,0.68,0.65,0.76,0.75,,,,,,,
2016-01-19,0.5,0.75,0.52,0.67,0.65,0.76,0.75,,,,,,,
2016-01-20,0.5,0.75,0.5417,0.8,0.8,0.76,0.75,,,,,,,
2016-01-21,0.5,0.75,0.5292,0.8,0.8,0.76,0.75,,,,,,,
2016-01-22,0.5,0.75,0.5282,0.8,0.8,0.8,0.8,,,,,,,
2016-01-25,0.5,0.75,0.5262,0.81,0.8,0.8,0.8,,,,,,,
